keyword,intent,format_page,zone_type,metier,modificateur,vol_estime,difficulte,page_cible,statut,priorite,tier,quick_win,raison_priorite
plombier lyon 3e,transactional,local-listing,arrondissement-lyon,plombier,aucun,2306,medium,/lyon/lyon-3e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
plombier lyon 7e,transactional,local-listing,arrondissement-lyon,plombier,aucun,2139,medium,/lyon/lyon-7e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
plombier lyon 8e,transactional,local-listing,arrondissement-lyon,plombier,aucun,2132,medium,/lyon/lyon-8e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
electricien lyon 3e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1844,medium,/lyon/lyon-3e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
plombier villeurbanne,transactional,local-listing,commune-banlieue,plombier,aucun,1804,medium,/lyon/villeurbanne/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (156,800hab) - ocean bleu local, vol significatif"
plombier lyon 9e,transactional,local-listing,arrondissement-lyon,plombier,aucun,1737,medium,/lyon/lyon-9e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,800hab) - vol fort, page facile a creer"
plombier lyon 6e,transactional,local-listing,arrondissement-lyon,plombier,aucun,1728,medium,/lyon/lyon-6e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,100hab) - vol fort, page facile a creer"
electricien lyon 7e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1711,medium,/lyon/lyon-7e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
electricien lyon 8e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1705,medium,/lyon/lyon-8e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
plombier lyon 5e,transactional,local-listing,arrondissement-lyon,plombier,aucun,1674,medium,/lyon/lyon-5e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (47,200hab) - vol fort, page facile a creer"
plombier lyon 4e,transactional,local-listing,arrondissement-lyon,plombier,aucun,1508,medium,/lyon/lyon-4e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (36,400hab) - vol fort, page facile a creer"
plombier lyon,transactional,local-listing,ville-principale,plombier,aucun,1500,high,/lyon/plombier,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
electricien villeurbanne,transactional,local-listing,commune-banlieue,electricien,aucun,1443,medium,/lyon/villeurbanne/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (156,800hab) - ocean bleu local, vol significatif"
plombier lyon 2e,transactional,local-listing,arrondissement-lyon,plombier,aucun,1434,medium,/lyon/lyon-2e/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (32,100hab) - vol fort, page facile a creer"
electricien lyon 9e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1390,medium,/lyon/lyon-9e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,800hab) - vol fort, page facile a creer"
electricien lyon 6e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1382,medium,/lyon/lyon-6e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (51,100hab) - vol fort, page facile a creer"
plombier lyon 1er,transactional,local-listing,arrondissement-lyon,plombier,aucun,1374,medium,/lyon/lyon-1er/plombier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (28,800hab) - vol fort, page facile a creer"
electricien lyon 5e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1339,medium,/lyon/lyon-5e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (47,200hab) - vol fort, page facile a creer"
plombier venissieux,transactional,local-listing,commune-banlieue,plombier,aucun,1269,medium,/lyon/venissieux/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (65,100hab) - ocean bleu local, vol significatif"
electricien lyon 4e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1207,medium,/lyon/lyon-4e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (36,400hab) - vol fort, page facile a creer"
electricien lyon,transactional,local-listing,ville-principale,electricien,aucun,1200,high,/lyon/electricien,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
plombier vaulx en velin,transactional,local-listing,commune-banlieue,plombier,aucun,1170,medium,/lyon/vaulx-en-velin/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (53,100hab) - ocean bleu local, vol significatif"
electricien lyon 2e,transactional,local-listing,arrondissement-lyon,electricien,aucun,1147,medium,/lyon/lyon-2e/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (32,100hab) - vol fort, page facile a creer"
plombier saint priest,transactional,local-listing,commune-banlieue,plombier,aucun,1121,medium,/lyon/saint-priest/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (47,800hab) - ocean bleu local, vol significatif"
electricien lyon 1er,transactional,local-listing,arrondissement-lyon,electricien,aucun,1099,medium,/lyon/lyon-1er/electricien,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (28,800hab) - vol fort, page facile a creer"
plombier caluire et cuire,transactional,local-listing,commune-banlieue,plombier,aucun,1076,medium,/lyon/caluire-et-cuire/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (43,100hab) - ocean bleu local, vol significatif"
plombier bron,transactional,local-listing,commune-banlieue,plombier,aucun,1055,medium,/lyon/bron/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (41,000hab) - ocean bleu local, vol significatif"
plombier saint martin d heres,transactional,local-listing,commune-banlieue,plombier,aucun,1032,medium,/grenoble/saint-martin-d-heres/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (38,800hab) - ocean bleu local, vol significatif"
electricien venissieux,transactional,local-listing,commune-banlieue,electricien,aucun,1015,medium,/lyon/venissieux/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (65,100hab) - ocean bleu local, vol significatif"
plombier echirolles,transactional,local-listing,commune-banlieue,plombier,aucun,1009,medium,/grenoble/echirolles/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (36,700hab) - ocean bleu local, vol significatif"
plombier meyzieu,transactional,local-listing,commune-banlieue,plombier,aucun,975,medium,/lyon/meyzieu/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (33,700hab) - ocean bleu local, vol significatif"
plombier rillieux la pape,transactional,local-listing,commune-banlieue,plombier,aucun,945,medium,/lyon/rillieux-la-pape/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (31,200hab) - ocean bleu local, vol significatif"
electricien vaulx en velin,transactional,local-listing,commune-banlieue,electricien,aucun,936,medium,/lyon/vaulx-en-velin/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (53,100hab) - ocean bleu local, vol significatif"
peintre lyon 3e,transactional,local-listing,arrondissement-lyon,peintre,aucun,922,medium,/lyon/lyon-3e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
menuisier lyon 3e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,922,medium,/lyon/lyon-3e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
plombier decines charpieu,transactional,local-listing,commune-banlieue,plombier,aucun,914,medium,/lyon/decines-charpieu/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (28,700hab) - ocean bleu local, vol significatif"
plombier grenoble,transactional,local-listing,ville-principale,plombier,aucun,900,high,/grenoble/plombier,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
electricien saint priest,transactional,local-listing,commune-banlieue,electricien,aucun,897,medium,/lyon/saint-priest/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (47,800hab) - ocean bleu local, vol significatif"
plombier oullins,transactional,local-listing,commune-banlieue,plombier,aucun,887,medium,/lyon/oullins/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (26,600hab) - ocean bleu local, vol significatif"
electricien caluire et cuire,transactional,local-listing,commune-banlieue,electricien,aucun,861,medium,/lyon/caluire-et-cuire/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (43,100hab) - ocean bleu local, vol significatif"
peintre lyon 7e,transactional,local-listing,arrondissement-lyon,peintre,aucun,855,medium,/lyon/lyon-7e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
menuisier lyon 7e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,855,medium,/lyon/lyon-7e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (87,100hab) - vol fort, page facile a creer"
peintre lyon 8e,transactional,local-listing,arrondissement-lyon,peintre,aucun,852,medium,/lyon/lyon-8e/peintre,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
menuisier lyon 8e,transactional,local-listing,arrondissement-lyon,menuisier,aucun,852,medium,/lyon/lyon-8e/menuisier,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (86,400hab) - vol fort, page facile a creer"
electricien bron,transactional,local-listing,commune-banlieue,electricien,aucun,844,medium,/lyon/bron/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (41,000hab) - ocean bleu local, vol significatif"
plombier fontaine,transactional,local-listing,commune-banlieue,plombier,aucun,840,medium,/grenoble/fontaine/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (23,200hab) - ocean bleu local, vol significatif"
plombier sainte foy les lyon,transactional,local-listing,commune-banlieue,plombier,aucun,828,medium,/lyon/sainte-foy-les-lyon/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (22,400hab) - ocean bleu local, vol significatif"
electricien saint martin d heres,transactional,local-listing,commune-banlieue,electricien,aucun,825,medium,/grenoble/saint-martin-d-heres/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (38,800hab) - ocean bleu local, vol significatif"
plombier tassin la demi lune,transactional,local-listing,commune-banlieue,plombier,aucun,823,medium,/lyon/tassin-la-demi-lune/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (22,100hab) - ocean bleu local, vol significatif"
plombier saint genis laval,transactional,local-listing,commune-banlieue,plombier,aucun,822,medium,/lyon/saint-genis-laval/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (22,000hab) - ocean bleu local, vol significatif"
plombier annecy le vieux,transactional,local-listing,commune-banlieue,plombier,aucun,807,medium,/annecy/annecy-le-vieux/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (21,000hab) - ocean bleu local, vol significatif"
electricien echirolles,transactional,local-listing,commune-banlieue,electricien,aucun,807,medium,/grenoble/echirolles/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (36,700hab) - ocean bleu local, vol significatif"
plombier seynod,transactional,local-listing,commune-banlieue,plombier,aucun,791,medium,/annecy/seynod/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (20,000hab) - ocean bleu local, vol significatif"
plombier givors,transactional,local-listing,commune-banlieue,plombier,aucun,788,medium,/lyon/givors/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (19,800hab) - ocean bleu local, vol significatif"
plombier bourg les valence,transactional,local-listing,commune-banlieue,plombier,aucun,786,medium,/valence/bourg-les-valence/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (19,700hab) - ocean bleu local, vol significatif"
electricien meyzieu,transactional,local-listing,commune-banlieue,electricien,aucun,780,medium,/lyon/meyzieu/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (33,700hab) - ocean bleu local, vol significatif"
plombier saint fons,transactional,local-listing,commune-banlieue,plombier,aucun,778,medium,/lyon/saint-fons/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (19,200hab) - ocean bleu local, vol significatif"
plombier ecully,transactional,local-listing,commune-banlieue,plombier,aucun,770,medium,/lyon/ecully/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (18,700hab) - ocean bleu local, vol significatif"
carreleur lyon 3e,transactional,local-listing,arrondissement-lyon,carreleur,aucun,768,medium,/lyon/lyon-3e/carreleur,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
chauffagiste lyon 3e,transactional,local-listing,arrondissement-lyon,chauffagiste,aucun,768,medium,/lyon/lyon-3e/chauffagiste,a-creer,1,T1-quick-win,oui,"Arrondissement Lyon (105,100hab) - vol fort, page facile a creer"
plombier cran gevrier,transactional,local-listing,commune-banlieue,plombier,aucun,759,medium,/annecy/cran-gevrier/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (18,000hab) - ocean bleu local, vol significatif"
electricien rillieux la pape,transactional,local-listing,commune-banlieue,electricien,aucun,756,medium,/lyon/rillieux-la-pape/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (31,200hab) - ocean bleu local, vol significatif"
plombier meylan,transactional,local-listing,commune-banlieue,plombier,aucun,755,medium,/grenoble/meylan/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (17,800hab) - ocean bleu local, vol significatif"
plombier annecy,transactional,local-listing,ville-principale,plombier,aucun,750,high,/annecy/plombier,existante,1,T2-volume-eleve,non,Top requete metier+ville - existante - SERP saturee top sites nationaux
plombier saint egreve,transactional,local-listing,commune-banlieue,plombier,aucun,736,medium,/grenoble/saint-egreve/plombier,a-creer,1,T1-quick-win,oui,"Banlieue grosse (16,700hab) - ocean bleu local, vol significatif"
electricien decines charpieu,transactional,local-listing,commune-banlieue,electricien,aucun,731,medium,/lyon/decines-charpieu/electricien,a-creer,1,T1-quick-win,oui,"Banlieue grosse (28,700hab) - ocean bleu local, vol significatif"
peintre villeurbanne,transactional,local-listing,commune-banlieue,peintre,aucun,721,medium,/lyon/villeurbanne/peintre,a-creer,1,T1-quick-win,oui,"Banlieue grosse (156,800hab) - ocean bleu local, vol significatif"
